Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
Which antibiotic is contraindicated in patients under 12?,Ciprofloxacin,Amoxicillin,Fluconazole,Doxycycline,Clarithromycin,D,Doxycycline is a tetracycline antibiotic that can permanently discolour teeth and affect bone growth in children under 8 years old. Generally its not recommended for patients under the age of 12.
"Ms. DuBois comes to your pharmacy complaining of hard, pellet-like stools. She appears visibly pregnant and on questioning you confirm that she is 7 months pregnant. She has tried to change her diet and drinks more water but this has been ineffective. She has medical history and takes no other medications. What is the most appropriate advice to give Ms. DuBois? 
",Recommend Senna tablets,Recommend Lactulose,Recommend Bisacodyl tablets,Recommend milk of magnesia,Drink herbal tea,B,"Ms B is suffering from constipation and needs an osmotic laxative if dietary measures have been ineffective.
Pepto-Bismol & Milk of Magnesia - for indigestion
Senna & Bisacodyl - stimulant laxatives should not be used first-line in pregnancy"
A 66-year-old man has a prescription for loperamide 2mg capsules for acute diarrhoea. The prescription states 'to be taken as directed' but he can't remember how he was told to take them. What is the maximum number of loperamide capsules this patient could take in ONE day?,16,4,10,6,8,E,Maximum dose of loperamide for acute diarrhoea: 16mg in 24 hours.
Which ONE of the following agents is first line treatment to obtain rate control in atrial fibrillation?,"Amiodarone 
",Bisoprolol,Digoxin,Flecanaide,Verapamil,B,NICE guidelines recommend beta blockers to be used as first line for rate control in atrial fibrillation
Which ONE of the following should be omitted to achieve the greatest reduction in risk of complications associated with an epidural catheter insertion?,Dabigatran,Levothyroxine,Docetaxel,Gliclazide,Dalteparin,A,NOACs have a risk of an epidural haematoma (collection of blood between the skull and dura matter). No evidence of a risk associated with LMWH.
"Mr Henley, who weighs 70kg, recently began taking a dose of 20mg/kg of phenytoin for treatment of status epilepticus. What is the total plasma-phenytoin concentration range for optimum response?
",5-10 micrograms/litre,10-15 micrograms/litre,2.50-5 mg/litre,20-25 mg/litre,10-20 mg/litre,E,The total plasma-phenytoin concentration recommended for optimum response is 10-20 mg/litre (or 40-80 micromol/litre).
72-year-old Mr Allen was admitted to your ward for routine surgery. He has a past medical history of Parkinson’s disease and hypertension for which he currently takes Madopar 250mg TDS and Amlodipine 5mg OM. Which one of the following is the most appropriate to treat his post-operative nausea and vomiting?,Ondasetron,Haloperidol,Cyclizine,Perphenazine,Prochlorperazine,C,"All options other than A carry a risk of extrapyramidal side effects. Haloperidol, perphenazine, prochlorperazine and metoclopramide block dopamine receptors. Domperidone would be first line but is not an option given. Domperidone is a dopamine receptor antagonist but does not cross the blood brain barrier."
"A patient comes into your pharmacy with some questions about their medication. They have recently started taking theophylline a few weeks ago and think they are experiencing a side effect from the drug.
Which of the following could be a sife-effect of theophylline?",Constipation,Diarrhoea, Increased appetite,Anosmia,Dizziness,B,"Side effects of theophylline include: diarrhoea, arrhythmias; convulsions;CNS stimulation; gastric irritation; headache; insomnia; nausea; palpitation; tachycardia; vomiting"
"Mrs Betram comes into your pharmacy complaining of a sore mouth that developed over the last 24 hours. On examination you notice she has red and raw cheeks and tongue. On questioning you find she has newly started Clenil Modulite inhaler (beclomethasone dipropionate) 2 weeks ago and you send Mrs Betram to the GP. 
The GP contacts you and asks what the most appropriate initial treatment for Mrs Betram.","Nystatin (100,000 units/mL) 1mL QDS",Strepsil lozenges,Itraconazole 100mg BD,Fluconazole 50mg OD,Increase fluid intake,A,Mrs Betram has oral thrush due to her newly prescribed Clenil Modulite inhaler (beclomethasone). Initial treatment should be with nystatin or miconazole. Fluconazole is indicated for unresponsive infections or if a topical anti-fungal is contraindicated or if the patient has dry mouth.
"At Mrs Atwood's annual review, her HbA1c is much higher than usual. She asks you if this could be caused by changes in her medication.

Which of the following drugs that Mrs Atwood started in the last 3 months is the most likely to have caused the change in her result?",Aspirin,Ibuprofen,Prednisolone,Ramipril,Warfarin,C,Prednisolone has glucocorticoid activity. Glucocorticoids can cause insulin resistance and hyperglycaemia.
"A 3-week-old baby has had bouts of extreme crying during which he pulls his legs up to his chest and goes red in the face. The symptoms began yesterday and his mother claims he is otherwise well. 

Which of the following options is most appropriate?",Recommend a product containing ispaghula husk,Recommend lactulose,"Recommend a product containing simethicone
",Refer urgently to a GP,Recommend Senna liquid,C,"The symptoms describe COLIC. Simethicone drops, such as Infacol, are a supplement that can be added to your baby's bottle or breast milk before a feed and help release bubbles of trapped air in your baby's digestive system."
"Children under the age of 16 should not be given Aspirin due to the risk of developing Reye’s syndrome.
Which ONE of the following signs and symptoms is least likely to occur?
",Vomiting,Seizures,Muscle achesS,Raised white cell count,Delirium,B,"Initially Reye’s syndrome can present with persistent, effortless vomiting, lack of interest/enthusiasm, energy loss, drowsiness, rapid breathing and seizures. As it progresses, the symptoms may become more severe and wide ranging including personality changes such as extreme irritability, aggressive behaviour, delirium and coma. LFTs and WCC are normally raised.
"
"Mr Pebbles often drives large vehicles for transporting goods. He comes into your pharmacy asking for advice on drugs that can affect driving, as there have been new drug-driving laws published.
Which of the following may cause a sudden onset of sleep?
",Lansoprazole,"Epinephrine
","Pyrazinamide
",Co-beneldopa,Dipyridamole,D,Excessive daytime sleepiness and sudden onset of sleep can be caused by levodopa. Patients should be warned of the risk and the need to be cautious when driving or operating machinery. Those who have experienced excessive sedation or sudden onset of sleep should refrain from driving or operating machines until these effects have stopped occurring.
"Mr Begum has a new prescription for a salbutamol 100mcg MDI. The pharmacist checks his inhaler technique and discusses the potential side effects.

Which of these is not an established side effect of salbutamol therapy?",Palpitation ,Fine tremor,Muscle cramps,Hyperkalaemia,Tachycardia,D,Salbutamol can cause hypokalaemia and is unlicensed for the treatment of hyperkalaemia.
"Mr Lewing has come to the travel clinic at your pharmacy. He believes he needs anti-malaria tablets before his travel to a country with a high prevalence of malaria. He gives you a list of the medications he is currently taking:
▪ Sertraline 200mg OD for severe anxiety
▪ Propranolol 40mg TDS for severe anxiety

Which anti-malarial medication would be the LEAST suitable for Mr Lewing based on his medication and clinical history?",Chloroquine,Chloroquine with proguanil,Mefloquine,Proguanil,Doxycycline,C,"Mefloquine is contraindicated in a current or previous history of depression, generalized anxiety disorder, psychosis, schizophrenia, suicide attempts, suicidal thoughts, self-endangering behaviour or any other major psychiatric disorders."
Which of the following is a side effect of mineralocorticosteroids?, Sodium loss,Peptic ulceration,Osteoporosis,Hypertension,Hyperkalaemia,D,"Side effects of mineralocorticosteroids include hypertension, sodium retention, water retention, potassium loss and calcium loss."
"Mrs Spades weighs 84 kg and is being treated with gentamicin at a dose of 7 mg/kg once daily.

Her serum gentamicin levels are found to be high, so you recommend a 25% reduction in her next dose. You have gentamicin available as 240 mg/80 mL infusion bags.

What volume of gentamicin 240 mg/80 mL solution for infusion is needed for her next dose?",127ml,1.84ml,14.7ml,167ml,147ml,E,"Original dose = 84 x 7 = 588 mg.
Decreased by 25%, the new dose will be 588 x 0.75 = 441 mg.
The strength of the infusion is 240 mg/80 mL; therefore 441 mg is in (441/240) x 80 = 147 mL"
"Mr James is started on Sulfasalazine 1g FOUR times a day for acute treatment of active Crohn’s disease.

Which of these ADRs does Mr James need to be counselled about?",Bradycardia,Sore throat,Haemturia,Myopathy,Drowsiness,B,"Blood disorders – patients on aminosalicylates and their carers should be advised to report any UNEXPLAINED BLEEDING, BRUISING, PURPURA, SORE THROAT, FEVER OR MALAISE that occurs "
"Mr Phillips has had recurrent deep-vein thrombosis for which warfarin for several months. His most recent three INR readings have been stable at 2.4.
What should his INR target be?
",2,2.5,3,3.5,4.5,D,INR target of 3.5 for recurrent deep-vein thrombosis or pulmonary embolism in patients currently on anticoagulation and with an INR above 2.
"Mrs Davis usually akes carbamazepine.
Which side effects should be urgently reported to the doctor?",Hirsuitism,Hyponatraemia,Nausea,Unexplained bleeding or bruising,Diarrhoea,D,"Carbamazepine can commonly cause blood, hepatic or skin disorders. Patients and carers should be advised on how to recognise signs of blood, liver or skin disorders, and to seek immediate medical attention if experiencing symptoms such as fever, rash, mouth ulcers, bruising, or bleeding develop.
"
"A patient comes to your pharmacy with his 4-year-old daughter with a prescription for Seretide 50 Evohaler (salmeterol and fluticasone). The dose states TWO puffs TWICE a day with a spacer.

Which of the actions below are the most appropriate?",Return prescription to prescriber for alternative brand,Contact prescriber to discuss supply of unlicensed medicines,Contact prescriber to reduce dose to ONE puff TWICE a day,"Contact prescriber to reduce dose to TWO puffs ONCE a day
",Return prescription to prescriber alternative inhalation device,A,Salmeterol is not licensed for use in children under 5 years old.
"Mrs Evans, a 34-year-old lady is 1 month pregnant and suffers from morning sickness. She complains of a burning sensation when urinating and has a slightly raised temperature. The doctor has started her on antibiotics while waiting for her urine specimen culture testing results. Mrs Evans has no regular medication and no past medical history.
Which of the following antibiotics is most suitable for Mrs Evans to start whilst waiting for her culture results to return?
",Trimethoprim,Cefalexin,Methenamine hippurate,"Doxycycline
",Ciprofloxacin,B,"Uncomplicated lower UTIs often respond to trimethoprim or nitrofurantoin, or alternatively, amoxicillin, ampicillin or oral cephalosporin can be used. Suggested treatment duration is 7 days, but a shorter course (e.g. 3 days) is usually adequate in women. Trimethoprim is teratogenic and should be avoided in the first trimester of pregnancy."
"Mrs Landew is a 57-year-old woman who presents to the acute medicine unit at her local hospital feeling unwell. They suspect it could be an acute kidney injury (AKI).

Which one of the following symptoms is she most likely to have presented with that would indicate acute kidney injury?",Fever,Ascites,Arm pain,Oliguria,Palpitations,D,"Oliguria is the production of small amounts of urine and indicates AKI alongside oedema (legs, ankles and around the eyes), fatigue, shortness of breath, confusion, nausea, seizures, chest pain or pressure and coma (severe)."
"Mr Wayne was diagnosed with Type 2 diabetes a few months ago. He has struggled to control his glucose levels and is on a new anti-diabetic drug. He is a bus driver and is concerned that this new medication will affect his ability to drive. When counselling him, you tell him he can drive but warn him about hypoglycaemia and its dangers.

Which of the following medications has Mr H most likely been started on?",Acarbose,Glipizide,Pioglitazone,Metformin,Sitagliptin,B,"Glipizide is a sulfonylurea and they carry a risk of hypoglycaemia. They augment insulin secretion and consequently are effective only when there is some residual pancreatic beta-cell activity.
"
"You need to give a patient i.v. amoxicillin at a dose of 1 g every 6 hours. You have amoxicillin 1 g vials available, which should be reconstituted to a strength of 50 mg/mL.

Amoxicillin has a displacement value of 0.4 mL per 500 mg.

What liquid volume do you need to add to the vial to produce a solution of the required strength for a single dose? Give your answer to one decimal place.
",12,8,19.2,9.2,18.2,C,"500 mg of amoxicillin displaces 0.4 mL of liquid; therefore 1 g displaces 0.8 mL.
The final strength of the solution should be 50 mg/mL; therefore, the final volume needs to be 20 mL since the vial contains 1000 mg.
The volume required is therefore 20-0.8 = 19.2 mL"
"Which type of insulin is classed as long acting?
","Insulin Isophane
",Insulin Glargine,"Insulin Lispro
",Insulin Aspart,"Novorapid
",B,"Aspart and Lispro - rapid acting, Isophane - intermediate acting
Novorapid is an alternative name for Insulin Aspart
"
